Author,Repo Name,Description,Programming Language,Stars,Fork,Top Contributors,Stars Today
microsoft,vcpkg,"C++ Library Manager for Windows, Linux, and MacOS",CMake,24578,6808,"alexkaratarakis, ras0219-msft, BillyONeal, dg0yt, JackBoosY",6
shinchiro,mpv-winbuild-cmake,CMake-based MinGW-w64 Cross Toolchain,CMake,863,135,"shinchiro, mia-0, zhongfly, myfreeer, NotTsunami",1
bilke,cmake-modules,Additional CMake functionality. Most of the modules are from Ryan Pavlik (https://github.com/rpavlik/cmake-modules),CMake,561,222,"bilke, ferdnyc, FranzBranntvino, psalaberria002, tafryn",0
steinbergmedia,vst3sdk,VST 3 Plug-In SDK,CMake,1735,173,"ygrabit, scheffle, Msixty7",2
TheRobotStudio,SO-ARM100,Standard Open Arm 100,CMake,1434,102,"TheRobotStudio, pkooij, Cadene, philfung, cmcgartoll",7
openmainframeproject,cobol-programming-course,"Training materials and labs for a ""Getting Started"" level course on COBOL",COBOL,3191,622,"MikeBauerCA, tanto259, Sudharsana-Srinivasan, vargajb, klausmelcher",2
github,codeql,"CodeQL: the libraries and queries that power security researchers around the world, as well as code scanning in GitHub Advanced Security",CodeQL,8237,1658,"erik-krogh, geoffw0, MathiasVP, hvitved, asgerf",3
slackapi,hubot-slack,Slack Developer Kit for Hubot,CoffeeScript,2304,644,"aoberoi, grantmd, shaydewael, seratch, paulhammond",0
lucassus,angular-coffee-seed,AngularJS seed based on grunt JavaScript tasks runner and bower a package manager for the web,CoffeeScript,34,9,"lucassus, tacoprophet, waffleio",0
adaltas,node-csv,Full featured CSV parser with simple api and tested against large datasets.,CoffeeScript,4135,270,"wdavidw, yonilerner, ajaz-rehman, kibertoad, drdmitry",2
dimitri,pgloader,Migrate to PostgreSQL in a single command!,Common Lisp,5738,571,"dimitri, df7cb, dpanech, klando, phoe",5
atlas-engineer,nyxt,Nyxt - the hacker's browser.,Common Lisp,10360,433,"Ambrevar, jmercouris, aartaka, aadcg, vindarel",4
iv-org,invidious,Invidious is an alternative front-end to YouTube,Crystal,17148,1934,"omarroth, SamantazFox, weblate, syeopite, TheFrenchGhosty",4
crystal-lang,crystal,The Crystal Programming Language,Crystal,19740,1633,"straight-shoota, HertzDevil, asterite, waj, jhass",3
vitobotta,hetzner-k3s,The easiest and fastest way to create and manage Kubernetes clusters in Hetzner Cloud using the lightweight distribution k3s by Rancher.,Crystal,2339,163,"vitobotta, derlinuxer, jpetazzo, mgalesloot, jrudolph",0
spring-projects,spring-petclinic,A sample Spring-based application,CSS,8158,25127,"dsyer, arey, snicoll, bclozel, patbaumgartner",10
sapondanaisriwan,AdashimaaTube,Restore old Youtube layout in 2021-2022 with many customizable options.,CSS,327,19,"sapondanaisriwan, ItsProfessional",7
Anonym-tsk,nfqws-keenetic,,CSS,1174,85,"Anonym-tsk, github-actions, chymaboy, pegakmop, bear-gha",4
isocpp,CppCoreGuidelines,"The C++ Core Guidelines are a set of tried-and-true guidelines, rules, and best practices about coding in C++",CSS,43568,5477,"hsutter, gdr-at-ms, tkruse, cubbimew, BjarneStroustrup",7
athul,archie,A minimal Hugo Theme,CSS,1149,334,"athul, hcartiaux, RobbiNespu, pgeorgi, DavidWittman",1
animate-css,animate.css,🍿 A cross-browser library of CSS animations. As easy to use as an easy thing.,CSS,81612,16226,"daneden, dependabot, eltonmesquita, suissa, warengonzaga",9
necolas,normalize.css,A modern alternative to CSS resets,CSS,53061,10592,"necolas, jonathantneal, hudochenkov, MoOx, alrra",10
karpathy,llm.c,"LLM training in simple, raw C/CUDA",Cuda,26419,3038,"karpathy, ngc92, gordicaleksa, ademeure, rosslwheeler",14
flashinfer-ai,flashinfer,FlashInfer: Kernel Library for LLM Serving,Cuda,2715,286,"yzh119, abcdabcd987, zhyncs, MasterJH5574, nandor",10
computerhistory,AlexNet-Source-Code,This package contains the original 2012 AlexNet code.,Cuda,2556,332,"laurentes, chm-tluong",4
NVIDIA,CUDALibrarySamples,CUDA Library Samples,Cuda,1891,376,"mnicely, fbusato, almogsegal, springer13, rsdubtso",4
NVlabs,instant-ngp,Instant neural graphics primitives: lightning fast NeRF and more,Cuda,16521,1970,"Tom94, FlorisE, jc211, yenchenlin, JamesPerlman",6
thu-ml,SageAttention,"Quantized Attention achieves speedup of 2-3x and 3-5x compared to FlashAttention and xformers, without lossing end-to-end metrics across language, image, and video models.",Cuda,1381,97,"jt-zhang, jason-huang03, DefTruth, Panchovix",12
HazyResearch,ThunderKittens,Tile primitives for speedy kernels,Cuda,2283,136,"benjaminfspector, Aaryan0404, simran-arora, StuartSul, dylanllim",4
NVIDIA,nccl-tests,NCCL Tests,Cuda,1076,273,"AddyLaddy, sjeaugey, jbachan, lukeyeager, jithinjosepkl",0
Dao-AILab,causal-conv1d,"Causal depthwise conv1d in CUDA, with a PyTorch interface",Cuda,438,86,"tridao, ajassani, johnnynunez, amoskvic, tlrmchlsmth",0
NVIDIA,cub,[ARCHIVED] Cooperative primitives for CUDA C++. See https://github.com/NVIDIA/cccl,Cuda,1745,452,"gevtushenko, alliepiper, dumerrill, brycelelbach, elstehle",0
mit-han-lab,nunchaku,[ICLR2025 Spotlight] SVDQuant: Absorbing Outliers by Low-Rank Components for 4-Bit Diffusion Models,Cuda,1502,85,"lmxyy, sxtyzhangzk, ita9naiwa, PaoFanAIGC, synxlin",14
rapidsai,raft,RAFT contains fundamental widely-used algorithms and primitives for machine learning and information retrieval. The algorithms are CUDA-accelerated and form building blocks for more easily writing high performance applications.,Cuda,870,205,"cjnolet, GPUtester, aschaffer, divyegala, achirkin",0
rapidsai,cuvs,cuVS - a library for vector search and clustering on the GPU,Cuda,382,96,"GPUtester, benfred, cjnolet, bdice, achirkin",0
rapidsai,cugraph,cuGraph - RAPIDS Graph Analytics Library,Cuda,1954,325,"BradReesWork, afender, seunghwak, ChuckHastings, Iroy30",0
openai,mujoco-py,"MuJoCo is a physics engine for detailed, efficient rigid body simulations with contacts. mujoco-py allows using MuJoCo from Python 3.",Cython,2976,822,"wojzaremba, jonasschneider, machinaut, welinder, MillionIntegrals",0
TA-Lib,ta-lib-python,Python wrapper for TA-Lib (http://ta-lib.org/).,Cython,10551,1861,"mrjbq7, briancappello, xmatthias, GaretJax, mckelvin",7
MagicStack,uvloop,Ultra fast asyncio event loop.,Cython,10831,565,"1st1, fantix, elprans, jlaine, graingert",2
Unidata,netcdf4-python,netcdf4-python: python/numpy interface to the netCDF C library,Cython,777,265,"jswhit, huard, RandallPittmanOrSt, ocefpaf, headtr1ck",0
ldc-developers,ldc,The LLVM-based D Compiler.,D,1254,267,"kinke, ibuclaw, dnadlinger, redstar, JohanEngelen",1
abraunegg,onedrive,OneDrive Client for Linux,D,10822,885,"abraunegg, norbusan, Lyncredible, sbadia, bmccafferty",8
dlang,phobos,The standard library of the D programming language,D,1212,737,"andralex, dlang-bot, jmdavis, wilzbach, WalterBright",1
gnunn1,tilix,A tiling terminal emulator for Linux using GTK+ 3,D,5505,303,"gnunn1, weblate, phw, f2404, ximion",1
dlang,dmd,dmd D Programming Language compiler,D,3110,648,"WalterBright, dlang-bot, yebblies, ibuclaw, MartinNowak",2
niuhuan,jasmine,A comic browser，support Android / iOS / MacOS / Windows / Linux.,Dart,3966,317,"niuhuan, karedem, honjow",11
krille-chan,fluffychat,The cutest instant messenger in the [matrix],Dart,1488,292,"krille-chan, Sorunome, jelv, IhorHordiichuk, Linerly",0
flutter,flutter,Flutter makes it easy and fast to build beautiful apps for mobile and beyond,Dart,169896,28401,"engine-flutter-autoroll, jonahwilliams, abarth, Hixie, jmagman",35
pichillilorenzo,flutter_inappwebview,"A Flutter plugin that allows you to add an inline webview, to use a headless webview, and to open an in-app browser window.",Dart,3492,1806,"pichillilorenzo, allcontributors, p-mazhnik, michalsrutek, ryan-feline",2
flutter,packages,A collection of useful packages maintained by the Flutter team,Dart,4683,3203,"engine-flutter-autoroll, stuartmorgan-g, dnfield, dependabot, bparrishMines",5
academind,flutter-complete-guide-course-resources,Course resources (code snapshots & slides) for our complete Flutter & Dart course (https://acad.link/flutter).,Dart,2300,937,"maxschwarzmueller, unsivilaudio",7
dart-lang,sdk,"The Dart SDK, including the VM, JS and Wasm compilers, analysis, core libraries, and more.",Dart,10555,1652,"scheglov, johnniwinther, stereotype441, bwilkerson, rmacnak-google",3
AppFlowy-IO,AppFlowy,"Bring projects, wikis, and teams together with AI. AppFlowy is the AI collaborative workspace where you achieve more without losing control of your data. The leading open source Notion alternative.",Dart,62300,4192,"appflowy, LucasXu0, richardshiue, Xazin, vincentdchan",42
getsentry,sentry-dart,Sentry SDK for Dart and Flutter,Dart,800,252,"marandaneto, buenaflor, github-actions, web-flow, denrase",0
shorebirdtech,shorebird,Code Push for Flutter and other tools for Flutter businesses.,Dart,2599,163,"felangel, bryanoltman, eseidel, dependabot, erickzanardo",2
hiddify,hiddify-app,"Multi-platform auto-proxy client, supporting Sing-box, X-ray, TUIC, Hysteria, Reality, Trojan, SSH etc. It’s an open-source, secure and ad-free.",Dart,20689,1844,"hiddify-com, 0xConsumer, lymanjre, HiddifyOfficial, amirsaam",22
jiangtian616,JHenTai,A cross-platform manga app made for e-hentai & exhentai by Flutter,Dart,3604,99,"jiangtian616, qlife1146, pugaizai, Gzushgshsh, honjow",3
daodao97,chatmcp,ChatMCP is an AI chat client implementing the Model Context Protocol (MCP).,Dart,1365,100,"daodao97, hangingman, vkhobor, adhikasp, cevheri",12
MaikuB,flutter_local_notifications,"A Flutter plugin for displaying local notifications on Android, iOS, macOS, Linux and Windows",Dart,2554,1463,"MaikuB, proninyaroslav, emersion, jeffscaturro-aka, Levi-Lesches",0
nubank,nuvigator,"A powerful routing abstraction over Flutter Navigator, with nested Navigator and Deeplinks",Dart,284,35,"leoiacovini, lubritto, Alifyz, mateusvtt, Cisneiros",0
imaNNeo,fl_chart,"FL Chart is a highly customizable Flutter chart library that supports Line Chart, Bar Chart, Pie Chart, Scatter Chart, and Radar Chart.",Dart,7100,1853,"imaNNeo, lsaudon, payam-zahedi, prajwal27wiijii, dhiyaaulauliyaa",3
fluttercommunity,flutter_workmanager,A Flutter plugin which allows you to execute code in the background on Android and iOS.,Dart,926,313,"timrijckaert, ened, jeremie-movify, petermnt, otopba",0
flame-engine,flame,A Flutter based game engine.,Dart,9893,964,"spydon, luanpotter, erickzanardo, st-pasha",10
jameskokoska,Cashew,💸 An app created to help users manage a budget and purchases,Dart,2736,371,"jameskokoska, YuYing-Liang",5
xiaoyaocz,dart_simple_live,简简单单的看直播,Dart,9484,459,"xiaoyaocz, bgylde, AprDeci, SlotSun, abcghy",28
fluttercommunity,plus_plugins,Flutter Community Plus Plugins,Dart,1728,1088,"dependabot, vbuberen, miquelbeltran, jpnurmi, mhadaily",1
zetaloop,keyviz,免费开源按键可视化工具 Keyviz 的汉化版。Keyviz Chinese l10n fork.,Dart,548,20,"mulaRahul, dependabot, zetaloop, sitiom, wisetarman",40
Baseflow,flutter-geolocator,Android and iOS Geolocation plugin for Flutter,Dart,1277,690,"mvanbeusekom, martijn00, florissmit1, dependabot, TimHoogstrate",0
sass,dart-sass,"The reference implementation of Sass, written in Dart.",Dart,4063,361,"nex3, jathak, ntkme, stof, Goodwine",0
cmss13-devs,cmss13,Contains the code for CM-SS13,DM,124,702,"github-merge-queue, cm13-github, actions-user, cmss13-ci, stanalbatross",0
tgstation,tgstation,The /tg/station branch of SS13.,DM,1767,4932,"tgstation-server, comfyorange, Cyberboss, Cheridan, ChangelingRain",0
shiptest-ss13,Shiptest,The Shiptest Codebase,DM,111,559,"tgstation-server, actions-user, Cheridan, Cyberboss, ChangelingRain",0
jaywcjlove,reference,为开发人员分享快速参考备忘清单(速查表),Dockerfile,13564,2038,"jaywcjlove, github-actions, fwqaaq, renovate, zhangymPerson",16
dunglas,symfony-docker,A Docker-based installer and runtime for Symfony. Install: download and `docker compose up`.,Dockerfile,2784,833,"dunglas, maxhelias, fabpot, bkosun, thePanz",3
piyushsachdeva,CKA-2024,"This repository contains the notes and code snippets of the CKA 2024 YouTube Playlist. The content is based on the latest 2024 curriculum and includes hands-on demos, assignments, and exam-based scenarios. I will be covering everything from the basics to the advanced level.",Dockerfile,576,1027,"piyushsachdeva, iam-veeramalla, guntrer, codewithmitesh",2
odoo,docker,,Dockerfile,1039,1612,"d-fence, cecton, aab-odoo, sle-odoo, md5",0
astral-sh,uv-docker-example,An example of using uv in Docker images,Dockerfile,315,36,"zanieb, tomsquest, mgaitan, ciarancourtney, ethanholz",3
dotnet,dotnet-docker,Official container images for .NET,Dockerfile,4651,1954,"mthalman, lbussell, MichaelSimons, dotnet-docker-bot, jander-msft",1
kubernetes-sigs,contributor-playground,,Dockerfile,235,1338,"k8s-ci-robot, atoato88, shu-mutou, nikhita, k-toyoda-pi",0
autowarefoundation,autoware,Autoware - the world's leading open-source software project for autonomous driving,Dockerfile,9849,3214,"kenji-miyake, youtalk, awf-autoware-bot, pre-commit-ci",2
jauderho,dockerfiles,Dockerfiles of things,Dockerfile,136,22,"jauderho, dependabot, jauderho-bot, snyk-bot, pento",0
microsoft,mssql-docker,Official Microsoft repository for SQL Server in Docker resources,Dockerfile,1805,766,"jamesongithub, twright-msft, amvin87-zz, LuisBosquez, perrysk-msft",0
nodejs,docker-node,Official Docker Image for Node.js 🐳 🐢 🚀,Dockerfile,8401,1975,"PeterDaveHello, chorrell, nschonni, SimenB, LaurentGoderre",0
bitrixdock,bitrixdock,BitrixDock - это готовое Docker окружение для Bitrix CMS 🎯,Dockerfile,586,242,"vmpartner, Elnadrion, paskal, mikhailsidorov, rasperepodvipodvert",0
Fechin,reference,⭕ Share quick reference cheat sheet for developers.,EJS,7986,1001,"Fechin, Randy8080, FireIsGood, hatemhosny, Sumangal44",19
docker,multi-container-app,,EJS,132,443,"nunocoracao, cmrigney, lebe24, glours, barisayyildiz",0
roninoss,create-expo-stack,"CLI tool to initialize a React Native application with Expo. Provides options to include Typescript, file-based routing via Expo Router, configuration based routing via pure React Navigation, styling via Nativewind, Restyle, Unistyles, StyleSheets, or Tamagui, and/or backend as a service such as Firebase and Supabase.",EJS,2032,98,"danstepanov, github-actions, dannyhw, hqasmei, sammoore",5
github,haikus-for-codespaces,,EJS,2099,3695,"craiglpeters, dependabot, jungaretti, adnamalin, joshaber",3
Ovi,DummyJSON,DummyJSON.com provides different types of REST Endpoints filled with JSON data which you can use in developing the frontend with your favorite framework and library without worrying about writing a backend.,EJS,2187,236,"Ovi, djscruggs, Erik-J-D, rifaldhiaw, hmdshfq",1
phoenixframework,phoenix,Peace of mind from prototype to production,Elixir,22001,2958,"chrismccord, josevalim, lancehalvorsen, Gazler, dependabot",3
brainlid,langchain,Elixir implementation of a LangChain style framework that lets Elixir projects integrate with and leverage LLMs.,Elixir,851,109,"brainlid, elliotb, raulchedrese, stevehodgkiss, medoror",0
blockscout,blockscout,Blockchain explorer for Ethereum based network and a tool for inspecting and analyzing EVM based blockchains.,Elixir,3935,2665,"vbaranov, ayrat555, dependabot, KronicDeth, nikitosing",1
plausible,analytics,"Simple, open source, lightweight (< 1 KB) and privacy-friendly web analytics alternative to Google Analytics.",Elixir,22170,1189,"ukutaht, aerosol, zoldar, github-merge-queue, RobertJoonas",9
phoenixframework,phoenix_live_view,"Rich, real-time user experiences with server-rendered HTML",Elixir,6449,976,"chrismccord, josevalim, SteffenDE, mcrumm, snewcomer",2
anoma,anoma,Reference implementation of Anoma,Elixir,28658,3830,"mariari, juped, agureev, karbyshev, m1dnight",11
duffelhq,paginator,Cursor-based pagination for Elixir Ecto,Elixir,787,96,"sgerrand, dependabot, stevedomin, waltfy, telphan",0
sequinstream,sequin,"Postgres change data capture to streams and queues like Kafka, SQS, HTTP endpoints, and more",Elixir,1175,47,"acco, RTLS, thisisgoldman, fazzone, yordis",11
kieraneglin,pinchflat,Your next YouTube media manager,Elixir,2970,64,"kieraneglin, robertkleinschuster, onedr0p, philips, jbergler",5
electric-sql,electric,Real-time sync for Postgres.,Elixir,8095,218,"alco, icehaunter, msfstef, kevin-dp, thruflo",4
elixir-lang,elixir,"Elixir is a dynamic, functional language for building scalable and maintainable applications",Elixir,25136,3432,"josevalim, eksperimental, lexmag, whatyouhide, ericmj",6
erlef,elixir-secure-coding,An interactive cybersecurity curriculum designed for enterprise use at software companies using Elixir,Elixir,652,147,"hvalkerie19, davydog187, polvalente, epinault, cocoa-xu",5
